winner 	  t0_cs_min_0_10 	 t0_cs_min_10_20 	 t0_xp_min_0_10 	 t0_xp_min_10_20 	 t0_gold_min_0_10 	 t0_gold_min_10_20 	 t0_cs_diff_min_0_10 	 t0_cs_diff_min_10_20 	 t0_xp_diff_min_0_10 	 t0_xp_diff_min_10_20 	 t0_dmg_taken_min_0_10 	 t0_dmg_taken_min_10_20 	 t0_dmg_taken_diff_0_10 	 t0_dmg_taken_diff_10_20 	  t0_c0_wr 	 t0_c1_wr 	 t0_c2_wr 	 t0_c3_wr 	 t0_c4_wr 	  t1_cs_min_0_10 	 t1_cs_min_10_20 	 t1_xp_min_0_10 	 t1_xp_min_10_20 	 t1_gold_min_0_10 	 t1_gold_min_10_20 	 t1_cs_diff_min_0_10 	 t1_cs_diff_min_10_20 	 t1_xp_diff_min_0_10 	 t1_xp_diff_min_10_20 	 t1_dmg_taken_min_0_10 	 t1_dmg_taken_min_10_20 	 t1_dmg_taken_diff_0_10 	 t1_dmg_taken_diff_10_20 	  t1_c0_wr 	 t1_c1_wr 	 t1_c2_wr 	 t1_c3_wr 	 t1_c4_wr
0	  16.6	 16.7	 1654.6	 1933.0000000000002	 953.8000000000001	 1521.8000000000002	 -4.9	 -7.6	 -345.0999999999999	 -502.1	 2132.3	 3640.5	 624.4	 538.6999999999998	  0.49138806663184165 	 0.5015551625297311 	 0.5091642563556097 	 0.479976020594078 	 0.4851501158883878 	  21.5	 24.299999999999997	 1999.7	 2435.1	 1505.1	 2610.9	 4.9	 7.6000000000000005	 345.0999999999999	 502.1	 1507.9	 3101.8	 -624.4	 -538.6999999999998  0.5216623414071511 	 0.5011879292206948 	 0.5038567065279288 	 0.5333229280474481 	 0.5061780388204947 	
1	  18.799999999999997	 26.2	 1810.4	 2097.2	 1215.3999999999999	 1951.1	 -2.8999999999999995	 3.3999999999999995	 24.299999999999926	 207.90000000000003	 1440.9	 1944.5	 -247.99999999999991	 -104.10000000000001	  0.48550792608573307 	 0.51785023049583 	 0.499486301369863 	 0.5309594460929773 	 0.5041272612638829 	  21.7	 22.799999999999997	 1786.1	 1889.3	 1131.5	 1421.2	 2.8999999999999995	 -3.3999999999999995	 -24.299999999999926	 -207.90000000000003	 1688.9	 2048.6	 247.99999999999991	 104.10000000000001  0.5223905169575239 	 0.5022769890168765 	 0.4477634011090573 	 0.5030250161803191 	 0.5011879292206948 	
1	  16.3	 17.7	 1701.1000000000001	 2066.4	 1108.0	 1866.3	 1.2000000000000004	 2.7000000000000006	 -56.79999999999998	 156.90000000000012	 1876.3	 3556.5	 28.899999999999935	 624.9	  0.4867730681537236 	 0.4913516782582401 	 0.5164560029075637 	 0.4851501158883878 	 0.4837743384922616 	  15.1	 15.0	 1757.8999999999999	 1909.5	 1104.3000000000002	 1998.5	 -1.2000000000000004	 -2.7	 56.79999999999998	 -156.9000000000001	 1847.4	 2931.6	 -28.899999999999935	 -624.9  0.5011879292206948 	 0.5142919964819701 	 0.4762290990766159 	 0.5031076295236532 	 0.5092912519553745 	
0	  18.8	 19.400000000000002	 1778.9	 1759.7	 1244.8999999999999	 1452.0	 -0.49999999999999956	 -4.900000000000001	 -50.60000000000002	 -509.30000000000007	 1796.6000000000001	 3385.7	 -81.30000000000007	 467.79999999999995	  0.5000104898772685 	 0.48148148148148145 	 0.4922352259809554 	 0.5011879292206948 	 0.51785023049583 	  19.299999999999997	 24.3	 1829.5	 2269.0	 1224.3	 2184.6000000000004	 0.4999999999999998	 4.9	 50.60000000000002	 509.3	 1877.9	 2917.8999999999996	 81.30000000000007	 -467.79999999999995  0.4851501158883878 	 0.5443243682457138 	 0.5161412664219182 	 0.5053689427312775 	 0.5162294492155114 	
0	  17.8	 22.6	 1840.5	 2235.5	 1322.6	 1901.1000000000001	 -2.5999999999999988	 -0.6999999999999997	 133.2	 -41.0	 2496.3	 4011.8	 462.99999999999994	 429.4	  0.4933234083278898 	 0.5038567065279288 	 0.4904249596557289 	 0.49489295944519823 	 0.4678450125134072 	  20.4	 23.299999999999997	 1707.3	 2276.5	 1236.3999999999999	 2061.8	 2.5999999999999988	 0.6999999999999993	 -133.2	 41.0	 2033.3	 3582.4000000000005	 -462.99999999999994	 -429.4  0.5032257135451168 	 0.4477634011090573 	 0.514955600560835 	 0.5117268165009845 	 0.4587053847485716 	
1	  18.0	 19.900000000000002	 1836.8999999999999	 2436.9	 1244.0	 2342.2000000000003	 2.3000000000000003	 1.9	 120.4	 263.9	 2177.2	 5162.900000000001	 82.9999999999999	 1219.8	  0.5164560029075637 	 0.5172697569441616 	 0.5015551625297311 	 0.4946713827991318 	 0.5278137128072445 	  15.7	 18.0	 1716.5	 2173.0	 1076.3999999999999	 1806.5	 -2.3000000000000003	 -1.9	 -120.4	 -263.9	 2094.2	 3943.1	 -82.9999999999999	 -1219.8  0.4853440822241436 	 0.47626515471379455 	 0.523247090506877 	 0.5038567065279288 	 0.5142919964819701 	
1	  20.2	 26.6	 1855.8000000000002	 2543.8	 1276.8	 2269.5	 0.20000000000000082	 4.000000000000001	 174.79999999999993	 212.2000000000001	 2346.3	 3601.6000000000004	 243.2	 -377.09999999999997	  0.47992692395524095 	 0.5092912519553745 	 0.48752128913926374 	 0.5044402092372572 	 0.4477634011090573 	  20.0	 22.599999999999998	 1681.0	 2331.6	 1175.5	 1828.5	 -0.20000000000000084	 -4.0	 -174.79999999999993	 -212.2000000000001	 2103.1	 3978.7	 -243.20000000000005	 377.1  0.5032257135451168 	 0.49023043897310087 	 0.5038567065279288 	 0.5164560029075637 	 0.47818049778834093 	
0	  15.0	 20.4	 1636.6000000000001	 2221.1000000000004	 1203.1999999999998	 1844.3999999999999	 -2.1999999999999993	 -2.7999999999999994	 -171.49999999999997	 -317.29999999999995	 2142.9	 3529.0	 277.7	 260.8999999999999	  0.5051748899148992 	 0.5156743666874776 	 0.5349685920519321 	 0.4851501158883878 	 0.45439506393633194 	  17.199999999999996	 23.199999999999996	 1808.1	 2538.4	 1356.7	 2199.6000000000004	 2.1999999999999993	 2.7999999999999994	 171.49999999999997	 317.29999999999995	 1865.1999999999998	 3268.1000000000004	 -277.7	 -260.9  0.5011514821442464 	 0.5041272612638829 	 0.5038567065279288 	 0.5079325177364393 	 0.48550792608573307 	
0	  15.899999999999999	 17.299999999999997	 1735.4	 2062.2	 1479.6	 1898.4	 -0.2999999999999996	 -4.499999999999998	 208.89999999999998	 -403.4	 2171.0	 3724.6	 73.09999999999985	 178.0	  0.46435320391685275 	 0.51785023049583 	 0.49782923299565845 	 0.5169163294444313 	 0.4933234083278898 	  16.200000000000003	 21.799999999999997	 1526.5	 2465.6	 1189.0	 2301.4	 0.2999999999999996	 4.499999999999999	 -208.9	 403.4	 2097.9	 3546.6	 -73.09999999999987	 -177.99999999999994  0.4477634011090573 	 0.5117268165009845 	 0.4587053847485716 	 0.48520973761907416 	 0.4837743384922616 	
0	  20.2	 20.9	 1883.4	 1973.3999999999996	 1233.1	 1638.1	 -2.9	 -3.5	 158.4	 -390.80000000000007	 1467.8	 3362.0	 236.89999999999995	 664.3999999999999	  0.47818049778834093 	 0.5178409309747173 	 0.51785023049583 	 0.4946713827991318 	 0.49138806663184165 	  23.1	 24.4	 1725.0	 2364.2	 1110.8	 2143.0	 2.9	 3.5	 -158.39999999999998	 390.80000000000007	 1230.8999999999999	 2697.6000000000004	 -236.89999999999992	 -664.3999999999999  0.4933234083278898 	 0.470348239991898 	 0.5309594460929773 	 0.5030250161803191 	 0.5092912519553745 	
